suburb,LML,sales_12m,dwelling_stock,lml_reliable,MOM,latest_price,mom_reliable,DDR,lookback_quarters,ddr_reliable,MLA,MLA_pvalue,MLA_significant,MLA_n,LML_score,MOM_score,DDR_score,MLA_score,MLAPS,rank
CASTLE COVE,0.14120969639915276,6,4249,True,6.065452736275279,2950000.0,True,-35.0,75,True,0.010063033141875094,0.932186769080627,False,74,100.0,49.68980056694709,0.0,50.0,62.45347008504206,1
ROSEVILLE,0.11899449650453667,24,20169,True,2.8829685568737995,1310000.0,True,-35.0,88,True,-0.06700762899112186,0.5374594574853583,False,87,78.36024348124893,0.0,0.0,50.0,47.42608521843712,2
NORTH WILLOUGHBY,0.10069225928256766,8,7945,True,4.979423491242563,1800000.0,True,-35.0,82,True,0.00510490956065939,0.963923689146444,False,81,60.53209162528396,32.733054341834126,0.0,50.0,46.096190220124505,3
WILLOUGHBY EAST,0.03855050115651503,1,2594,False,9.287671620863192,2620000.0,True,-28.632907760722993,71,True,-0.0006707125435834321,0.9956032458319819,False,70,0.0,100.0,99.99999999999999,50.0,45.0,4
NORTHBRIDGE,0.0520697734964853,6,11523,True,6.772014928163395,2385000.0,True,-35.0,85,True,0.08555744277431898,0.43903855748972626,False,84,13.169080770618852,60.72172796200121,0.0,50.0,33.71743746401678,5
MIDDLE COVE,0.04805382027871216,1,2081,False,6.4096999706697355,2300000.0,True,-34.042418486862935,62,True,-0.10561336714238151,0.41789924407155055,False,61,9.257153340950884,55.0647138292027,15.039542025635857,50.0,33.0036649462768,6
WILLOUGHBY,0.04109589041095891,6,14600,True,6.016477175863688,1600000.0,True,-35.0,85,True,0.01297360311817982,0.9067583939631962,False,84,2.4794556867777744,48.925119364364,0.0,50.0,28.20657739502682,7
