suburb,LML,sales_12m,dwelling_stock,MOM,latest_price,DDR,MLA,LML_score,MOM_score,DDR_score,MLA_score,MLAPS,rank
CASTLE COVE,0.14120969639915276,6,4249,6.065452736275279,2950000.0,-86.96808510638297,0.06270288214850063,100.0,49.6898005669471,8.349376877596658,100.0,83.28840777280173,1
NORTH WILLOUGHBY,0.10069225928256766,8,7945,4.979423491242563,1800000.0,-87.90909090909092,0.00021762908379833397,60.53209162528396,32.73305434183413,4.579652879591208,57.9146138483145,49.720001047409426,2
WILLOUGHBY EAST,0.03855050115651503,1,2594,9.287671620863192,2620000.0,-64.09007912355447,-0.008584535598285262,0.0,100.0,100.0,51.986135024156894,45.79445400966276,3
ROSEVILLE,0.11899449650453667,24,20169,2.8829685568737995,1310000.0,-89.05227272727274,-0.040128099734097845,78.36024348124893,0.0,0.0,30.74075291965448,39.722386386298915,4
WILLOUGHBY,0.04109589041095891,6,14600,6.016477175863688,1600000.0,-83.72558838257386,-0.018924834018234648,2.4794556867777726,48.925119364364,21.33900741762309,45.02168452450672,28.349151946591817,5
MIDDLE COVE,0.04805382027871216,1,2081,6.4096999706697355,2300000.0,-85.08064516129032,-0.08576968464580399,9.257153340950886,55.06471382920271,15.910571118200203,0.0,13.090767855533237,6
